category,type,width,height,channels,mean_brightness,std_brightness,mean_r,mean_g,mean_b
metal_nut,good,700,700,3,61.48524897959184,46.080303878518954,58.18040408163265,63.84564081632653,62.42970204081632
metal_nut,good,700,700,3,55.10382244897959,38.15359795019791,50.97001836734694,56.63118163265306,57.71026734693878
metal_nut,good,700,700,3,62.92153129251701,45.399504595225245,58.63745306122449,65.28127551020408,64.84586530612245
metal_nut,good,700,700,3,51.7220306122449,36.18663723879472,47.77803673469388,52.52447142857143,54.863583673469385
metal_nut,good,700,700,3,52.17849931972789,36.10889462897182,48.296540816326534,52.96718571428571,55.27177142857143
metal_nut,good,700,700,3,56.08416734693878,39.54187349374236,52.06662653061225,57.7703,58.41557551020408
metal_nut,good,700,700,3,52.551766666666666,36.45304207709979,48.62415510204082,53.78741632653061,55.24372857142857
metal_nut,good,700,700,3,64.32390680272108,46.42268657974363,60.40932653061225,67.00482040816327,65.55757346938776
metal_nut,good,700,700,3,52.676439455782315,37.32236835093032,48.69270612244898,53.56815510204082,55.768457142857145
metal_nut,good,700,700,3,54.02268231292517,36.91197979219413,49.80204285714286,54.97576530612245,57.290238775510204
metal_nut,good,700,700,3,63.9394612244898,46.961028643409605,60.2327,65.99335510204082,65.59232857142857
metal_nut,good,700,700,3,53.73105578231293,35.90663595691564,49.70511428571429,54.73076734693878,56.757285714285715
metal_nut,good,700,700,3,55.39641836734694,37.9463311854679,51.2198306122449,56.82321632653061,58.14620816326531
metal_nut,good,700,700,3,62.62301088435374,46.24836523997308,58.1302,65.06161836734694,64.67721428571429
metal_nut,good,700,700,3,55.78522040816326,37.764441437334526,51.73916734693878,57.0198387755102,58.59665510204081
metal_nut,good,700,700,3,53.84606326530612,36.54463033337182,49.67448775510204,54.896367346938774,56.967334693877554
metal_nut,good,700,700,3,54.554766666666666,37.175181199435485,50.642622448979594,55.72292040816327,57.29875714285714
metal_nut,good,700,700,3,56.5183387755102,39.75464328010966,52.69966530612245,58.05314897959184,58.802202040816326
metal_nut,good,700,700,3,51.28229931972789,36.31486059853954,47.508742857142856,51.98592244897959,54.35223265306122
metal_nut,good,700,700,3,62.72476394557823,45.85913994552142,58.56102857142857,65.13920612244898,64.47405714285715
metal_nut,good,700,700,3,53.7245537414966,37.090299574901735,50.2903693877551,54.875595918367345,56.00769591836735
metal_nut,good,700,700,3,52.6991925170068,35.79898740484034,48.49689795918367,53.625685714285716,55.97499387755102
metal_nut,good,700,700,3,54.14628843537415,37.72803940727381,50.03879591836735,55.504751020408165,56.89531836734694
metal_nut,good,700,700,3,64.23848095238095,46.5345876298799,59.436491836734696,66.11568163265306,67.16326938775511
metal_nut,good,700,700,3,53.83052517006803,36.59881224676365,49.77799183673469,55.03866326530612,56.67492040816327
metal_nut,defective,700,700,3,58.48930136054422,38.278619738393516,54.6341693877551,60.1104,60.723334693877554
metal_nut,defective,700,700,3,58.384063945578234,39.32212760489319,54.852726530612244,59.78293265306122,60.516532653061226
